"Kind","Agent_Id","Queue_Id","Stream_Id","Thread_Id","Dispatch_Id","Kernel_Id","Kernel_Name","Correlation_Id","Start_Timestamp","End_Timestamp","LDS_Block_Size","Scratch_Size","VGPR_Count","Accum_VGPR_Count","SGPR_Count","Workgroup_Size_X","Workgroup_Size_Y","Workgroup_Size_Z","Grid_Size_X","Grid_Size_Y","Grid_Size_Z"
"KERNEL_DISPATCH","Agent 2",1,0,1,36,385,"_dynamic_mxfp4_quant_kernel_BLOCK_SIZE_M_1_BLOCK_SIZE_N_32_NUM_ITER_1_NUM_STAGES_1_MXFP4_QUANT_BLOCK_SIZE_32_EVEN_M_N_1_SCALING_MODE_0_num_warps_NONE_num_stages_NONE",558,67943984061053,67943984063374,0,0,44,4,48,64,1,1,64,160,1
"KERNEL_DISPATCH","Agent 2",1,0,1,37,386,"_gemm_afp4wfp4_kernel_BLOCK_SIZE_M_8_BLOCK_SIZE_N_64_BLOCK_SIZE_K_512_GROUP_SIZE_M_1_num_warps_4_num_stages_2_waves_per_eu_2_matrix_instr_nonkdim_32_cache_modifier_CG_NUM_KSPLIT_2",575,67943984159299,67943984181020,0,0,72,128,112,256,1,1,139264,1,1
"KERNEL_DISPATCH","Agent 2",1,0,1,38,387,"_gemm_afp4wfp4_reduce_kernel_BLOCK_SIZE_M_16_BLOCK_SIZE_N_64_ACTUAL_KSPLIT_2_MAX_KSPLIT_2_ADD_BIAS_0_activation_NONE_use_activation_0",579,67943984187180,67943984189141,0,0,16,0,32,256,1,1,256,272,1
"KERNEL_DISPATCH","Agent 2",1,0,1,39,385,"_dynamic_mxfp4_quant_kernel_BLOCK_SIZE_M_1_BLOCK_SIZE_N_32_NUM_ITER_1_NUM_STAGES_1_MXFP4_QUANT_BLOCK_SIZE_32_EVEN_M_N_1_SCALING_MODE_0_num_warps_NONE_num_stages_NONE",594,67943984247744,67943984250024,0,0,44,4,48,64,1,1,64,160,1
"KERNEL_DISPATCH","Agent 2",1,0,1,40,386,"_gemm_afp4wfp4_kernel_BLOCK_SIZE_M_8_BLOCK_SIZE_N_64_BLOCK_SIZE_K_512_GROUP_SIZE_M_1_num_warps_4_num_stages_2_waves_per_eu_2_matrix_instr_nonkdim_32_cache_modifier_CG_NUM_KSPLIT_2",611,67943984325988,67943984348029,0,0,72,128,112,256,1,1,139264,1,1
"KERNEL_DISPATCH","Agent 2",1,0,1,41,387,"_gemm_afp4wfp4_reduce_kernel_BLOCK_SIZE_M_16_BLOCK_SIZE_N_64_ACTUAL_KSPLIT_2_MAX_KSPLIT_2_ADD_BIAS_0_activation_NONE_use_activation_0",615,67943984350950,67943984352230,0,0,16,0,32,256,1,1,256,272,1
"KERNEL_DISPATCH","Agent 2",1,0,1,42,385,"_dynamic_mxfp4_quant_kernel_BLOCK_SIZE_M_1_BLOCK_SIZE_N_32_NUM_ITER_1_NUM_STAGES_1_MXFP4_QUANT_BLOCK_SIZE_32_EVEN_M_N_1_SCALING_MODE_0_num_warps_NONE_num_stages_NONE",630,67943984402992,67943984405353,0,0,44,4,48,64,1,1,64,160,1
"KERNEL_DISPATCH","Agent 2",1,0,1,43,386,"_gemm_afp4wfp4_kernel_BLOCK_SIZE_M_8_BLOCK_SIZE_N_64_BLOCK_SIZE_K_512_GROUP_SIZE_M_1_num_warps_4_num_stages_2_waves_per_eu_2_matrix_instr_nonkdim_32_cache_modifier_CG_NUM_KSPLIT_2",647,67943984475916,67943984497638,0,0,72,128,112,256,1,1,139264,1,1
"KERNEL_DISPATCH","Agent 2",1,0,1,44,387,"_gemm_afp4wfp4_reduce_kernel_BLOCK_SIZE_M_16_BLOCK_SIZE_N_64_ACTUAL_KSPLIT_2_MAX_KSPLIT_2_ADD_BIAS_0_activation_NONE_use_activation_0",651,67943984500558,67943984501878,0,0,16,0,32,256,1,1,256,272,1
"KERNEL_DISPATCH","Agent 2",1,0,1,45,385,"_dynamic_mxfp4_quant_kernel_BLOCK_SIZE_M_1_BLOCK_SIZE_N_32_NUM_ITER_1_NUM_STAGES_1_MXFP4_QUANT_BLOCK_SIZE_32_EVEN_M_N_1_SCALING_MODE_0_num_warps_NONE_num_stages_NONE",666,67943984555641,67943984557921,0,0,44,4,48,64,1,1,64,160,1
